,tanggal,pm10,so2,co,o3,no2,max,critical,categori,location,pm25,no3
0,2021-01-01,43,58,29,35,65.0,65,O3,SEDANG,DKI2,,
1,2021-01-02,58,86,38,64,80.0,86,PM25,SEDANG,DKI3,,
2,2021-01-03,64,93,25,62,86.0,93,PM25,SEDANG,DKI3,,
3,2021-01-04,50,67,24,31,77.0,77,O3,SEDANG,DKI2,,
4,2021-01-05,59,89,24,35,77.0,89,PM25,SEDANG,DKI3,,
5,2021-01-06,73,81,29,66,85.0,85,O3,SEDANG,DKI2,,
6,2021-01-07,36,52,22,55,72.0,72,O3,SEDANG,DKI2,,
7,2021-01-08,38,68,26,51,71.0,71,O3,SEDANG,DKI2,,
8,2021-01-09,60,77,34,42,80.0,80,O3,SEDANG,DKI2,,
9,2021-01-10,24,39,16,38,59.0,59,O3,SEDANG,DKI2,,
10,2021-01-11,51,72,17,57,68.0,72,PM25,SEDANG,DKI3,,
11,2021-01-12,29,58,20,44,77.0,77,O3,SEDANG,DKI2,,
12,2021-01-13,36,47,17,32,68.0,68,O3,SEDANG,DKI2,,
13,2021-01-14,36,78,20,38,65.0,78,PM25,SEDANG,DKI3,,
14,2021-01-15,52,82,20,56,65.0,82,PM25,SEDANG,DKI3,,
15,2021-01-16,70,92,19,38,67.0,92,PM25,SEDANG,DKI3,,
16,2021-01-17,58,86,22,41,93.0,93,O3,SEDANG,DKI2,,
17,2021-01-18,51,64,21,37,78.0,78,O3,SEDANG,DKI2,,
18,2021-01-19,42,56,19,35,58.0,58,O3,SEDANG,DKI2,,
19,2021-01-20,54,45,17,33,72.0,72,O3,SEDANG,DKI2,,
20,2021-01-21,63,51,21,38,67.0,67,O3,SEDANG,DKI2,,
21,2021-01-22,84,112,32,54,67.0,112,PM25,TIDAK SEHAT,DKI3,,
22,2021-01-23,89,126,47,61,104.0,126,PM25,TIDAK SEHAT,DKI3,,
23,2021-01-24,64,90,19,31,75.0,90,PM25,SEDANG,DKI3,,
24,2021-01-25,62,95,29,67,134.0,134,O3,TIDAK SEHAT,DKI2,,
25,2021-01-26,57,79,34,39,71.0,79,PM25,SEDANG,DKI3,,
26,2021-01-27,33,37,25,20,63.0,63,O3,SEDANG,DKI2,,
27,2021-01-28,28,49,25,28,53.0,53,O3,SEDANG,DKI2,,
28,2021-01-29,30,53,26,36,65.0,65,O3,SEDANG,DKI2,,
29,2021-01-30,46,39,25,32,64.0,64,O3,SEDANG,DKI2,,
30,2021-01-31,41,55,24,29,68.0,68,O3,SEDANG,DKI2,,
0,2021-02-01,73,38,26,46,34.0,126,PM25,TIDAK SEHAT,DKI5,126.0,
1,2021-02-02,53,40,14,55,25.0,70,PM25,SEDANG,DKI3,70.0,
2,2021-02-03,32,40,11,42,19.0,53,PM25,SEDANG,DKI3,53.0,
3,2021-02-04,36,40,14,47,24.0,59,PM25,SEDANG,DKI5,59.0,
4,2021-02-05,29,40,14,45,35.0,51,PM25,SEDANG,DKI3,51.0,
5,2021-02-06,34,40,8,57,15.0,57,O3,SEDANG,DKI2,53.0,
6,2021-02-07,33,40,10,57,13.0,57,O3,SEDANG,DKI2,55.0,
7,2021-02-08,26,39,10,54,17.0,54,O3,SEDANG,DKI2,44.0,
8,2021-02-09,33,40,13,47,22.0,57,PM25,SEDANG,DKI4,57.0,
9,2021-02-10,50,40,13,49,16.0,64,PM25,SEDANG,DKI3,64.0,
